id,altitude,availableBikes,availableDocks,city,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,statusKey,statusValue,testStation,totalDocks
505,"",0,0,"","",2019-05-12T17:05:09.000-07:00,40.74901271,"",-73.98848395,"",6 Ave & W 33 St,"",6 Ave & W 33 St,3,Not In Service,false,0
3088,"",12,6,"","",2019-06-12T19:15:45.000-07:00,40.7160751,"",-73.952029,"",Union Ave & Jackson St,"",Union Ave & Jackson St,1,In Service,false,19
3166,"",20,20,"","",2019-06-12T19:16:32.000-07:00,40.78057799010334,"",-73.98562431335449,"",Riverside Dr & W 72 St,"",Riverside Dr & W 72 St,1,In Service,false,41
3297,"",8,13,"","",2019-06-12T19:16:04.000-07:00,40.6686627,"",-73.97988067,"",6 St & 7 Ave,"",6 St & 7 Ave,1,In Service,false,21
238,"",23,3,"","",2019-06-12T19:17:38.000-07:00,40.7361967,"",-74.00859207,"",Bank St & Washington St,"",Bank St & Washington St,1,In Service,false,31
3213,"",7,14,"","",2019-06-12T18:43:17.000-07:00,40.71848892,"",-74.047726625,"",Van Vorst Park,"",Van Vorst Park,1,In Service,false,22
372,"",14,12,"","",2019-06-12T19:14:24.000-07:00,40.694546087246025,"",-73.95801365375519,"",Franklin Ave & Myrtle Ave,"",Franklin Ave & Myrtle Ave,1,In Service,false,27
3116,"",24,10,"","",2019-06-12T19:15:25.000-07:00,40.73266,"",-73.95826,"",Huron St & Franklin St,"",Huron St & Franklin St,1,In Service,false,35
3707,"",1,54,"","",2019-06-12T19:14:40.000-07:00,40.741459,"",-73.983293,"",Lexington Ave & E 26 St,"",Lexington Ave & E 26 St,1,In Service,false,55
335,"",4,23,"","",2019-06-12T19:16:31.000-07:00,40.72903917,"",-73.99404649,"",Washington Pl & Broadway,"",Washington Pl & Broadway,1,In Service,false,27
3064,"",4,19,"","",2019-06-12T19:17:33.000-07:00,40.69681963,"",-73.93756926,"",Myrtle Ave & Lewis Ave,"",Myrtle Ave & Lewis Ave,1,In Service,false,23
3129,"",2,28,"","",2019-06-12T19:17:28.000-07:00,40.75110165,"",-73.94073717,"",Queens Plaza N & Crescent St,"",Queens Plaza N & Crescent St,1,In Service,false,31
3206,"",1,25,"","",2019-06-12T19:14:40.000-07:00,40.7311689,"",-74.0575736,"",Hilltop,"",Hilltop,1,In Service,false,26
3254,"",15,11,"","",2019-06-12T19:15:05.000-07:00,40.69231660719192,"",-74.01486575603485,"",Soissons Landing,"",Soissons Landing,1,In Service,false,29
3272,"",6,8,"","",2019-06-12T19:17:19.000-07:00,40.72333158646436,"",-74.04595255851744,"",Jersey & 3rd,"",Jersey & 3rd,1,In Service,false,14
3340,"",20,1,"","",2019-06-12T19:16:15.000-07:00,40.6753274,"",-74.0100698,"",Wolcott St & Dwight St,"",Wolcott St & Dwight St,1,In Service,false,21
3478,"",23,18,"","",2019-06-12T19:14:56.000-07:00,40.65708866668485,"",-74.00870203971863,"",2 Ave & 36 St - Citi Bike HQ at Industry City,"",2 Ave & 36 St - Citi Bike HQ at Industry City,1,In Service,false,43
3621,"",7,7,"","",2019-06-12T19:15:33.000-07:00,40.7739825,"",-73.9309134,"",27 Ave & 9 St,"",27 Ave & 9 St,1,In Service,false,19
310,"",30,6,"","",2019-06-12T19:17:15.000-07:00,40.68926942,"",-73.98912867,"",State St & Smith St,"",State St & Smith St,1,In Service,false,36
313,"",18,4,"","",2019-06-12T19:15:55.000-07:00,40.69610226,"",-73.96751037,"",Washington Ave & Park Ave,"",Washington Ave & Park Ave,1,In Service,false,23
393,"",35,2,"","",2019-06-12T19:16:59.000-07:00,40.72299208,"",-73.97995466,"",E 5 St & Ave. C,"",E 5 St & Ave. C,1,In Service,false,37
493,"",0,32,"","",2019-06-12T19:14:09.000-07:00,40.7568001,"",-73.98291153,"",W 45 St & 6 Ave,"",W 45 St & 6 Ave,1,In Service,false,34
3356,"",2,19,"","",2019-06-12T19:16:31.000-07:00,40.7746671,"",-73.98470567,"",Amsterdam Ave & W 66 St,"",Amsterdam Ave & W 66 St,1,In Service,false,21
3614,"",0,21,"","",2019-06-12T19:17:11.000-07:00,40.768692,"",-73.9249574,"",Crescent St & 30 Ave,"",Crescent St & 30 Ave,1,In Service,false,23
223,"",11,19,"","",2019-06-12T19:17:13.000-07:00,40.73781509,"",-73.99994661,"",W 13 St & 7 Ave,"",W 13 St & 7 Ave,1,In Service,false,33
315,"",2,27,"","",2019-06-12T19:17:04.000-07:00,40.70355377,"",-74.00670227,"",S St & Gouverneur Ln,"",S St & Gouverneur Ln,1,In Service,false,29
3536,"",3,40,"","",2019-06-12T19:17:22.000-07:00,40.8082,"",-73.9641,"",W 116 St & Broadway,"",W 116 St & Broadway,1,In Service,false,43
3694,"",4,14,"","",2019-06-12T19:16:45.000-07:00,40.71113,"",-74.0789,"",Jackson Square,"",Jackson Square,1,In Service,false,18
195,"",0,42,"","",2019-06-12T19:14:07.000-07:00,40.70905623,"",-74.01043382,"",Liberty St & Broadway,"",Liberty St & Broadway,1,In Service,false,45
436,"",4,23,"","",2019-06-12T19:15:22.000-07:00,40.68216564,"",-73.95399026,"",Hancock St & Bedford Ave,"",Hancock St & Bedford Ave,1,In Service,false,27
438,"",45,2,"","",2019-06-12T19:17:29.000-07:00,40.72779126,"",-73.98564945,"",St Marks Pl & 1 Ave,"",St Marks Pl & 1 Ave,1,In Service,false,47
3047,"",15,5,"","",2019-06-12T19:15:13.000-07:00,40.6823687,"",-73.944118,"",Halsey St & Tompkins Ave,"",Halsey St & Tompkins Ave,1,In Service,false,21
3074,"",4,38,"","",2019-06-12T19:15:25.000-07:00,40.70767788,"",-73.94016171,"",Montrose Ave & Bushwick Ave,"",Montrose Ave & Bushwick Ave,1,In Service,false,42
3241,"",1,18,"","",2019-06-12T19:16:05.000-07:00,40.686203,"",-73.944694,"",Monroe St & Tompkins Ave,"",Monroe St & Tompkins Ave,1,In Service,false,19
3344,"",18,1,"","",2019-06-12T19:16:55.000-07:00,40.679043,"",-74.011169,"",Pioneer St & Van Brunt St,"",Pioneer St & Van Brunt St,1,In Service,false,19
3649,"",4,25,"","",2019-06-12T19:15:36.000-07:00,40.814394437915816,"",-73.95324736833572,"",W 129 St & Convent Ave,"",W 129 St & Convent Ave,1,In Service,false,30
3761,"",23,3,"","",2019-06-12T19:15:33.000-07:00,40.697842,"",-73.926241,"",Cedar St & Myrtle Ave,"",Cedar St & Myrtle Ave,1,In Service,false,27
82,"",3,23,"","",2019-06-12T19:16:40.000-07:00,40.71117416,"",-74.00016545,"",St James Pl & Pearl St,"",St James Pl & Pearl St,1,In Service,false,27
350,"",23,5,"","",2019-06-12T19:15:44.000-07:00,40.71559509,"",-73.9870295,"",Clinton St & Grand St,"",Clinton St & Grand St,1,In Service,false,28
472,"",2,51,"","",2019-06-12T19:17:04.000-07:00,40.7457121,"",-73.98194829,"",E 32 St & Park Ave,"",E 32 St & Park Ave,1,In Service,false,55
523,"",11,35,"","",2019-06-12T19:17:44.000-07:00,40.75466591,"",-73.99138152,"",W 38 St & 8 Ave,"",W 38 St & 8 Ave,1,In Service,false,51
3775,"",22,5,"","",2019-06-12T19:15:52.000-07:00,40.702013,"",-73.923769,"",Suydam St & Knickerbocker Ave,"",Suydam St & Knickerbocker Ave,1,In Service,false,27
351,"",1,37,"","",2019-06-12T19:15:28.000-07:00,40.70530954,"",-74.00612572,"",Front St & Maiden Ln,"",Front St & Maiden Ln,1,In Service,false,39
470,"",41,29,"","",2019-06-12T19:16:41.000-07:00,40.74345335,"",-74.00004031,"",W 20 St & 8 Ave,"",W 20 St & 8 Ave,1,In Service,false,72
3177,"",15,47,"","",2019-06-12T19:14:46.000-07:00,40.7867947,"",-73.977112,"",W 84 St & Broadway,"",W 84 St & Broadway,1,In Service,false,63
3223,"",0,0,"","",2019-06-06T09:37:37.000-07:00,40.758996559605116,"",-73.96865397691727,"",E 55 St & 3 Ave,"",E 55 St & 3 Ave,3,Not In Service,false,0
3307,"",17,13,"","",2019-06-12T19:14:22.000-07:00,40.7941654,"",-73.974124,"",W End Ave & W 94 St,"",W End Ave & W 94 St,1,In Service,false,31
3310,"",23,0,"","",2019-06-12T19:15:22.000-07:00,40.663779,"",-73.98396846,"",14 St & 7 Ave,"",14 St & 7 Ave,1,In Service,false,24
3397,"",25,0,"","",2019-06-12T19:17:41.000-07:00,40.6763947,"",-73.99869893,"",Court St & Nelson St,"",Court St & Nelson St,1,In Service,false,25
3620,"",5,18,"","",2019-06-12T19:14:00.000-07:00,40.7519071,"",-73.9479119,"",11 St & 43 Ave,"",11 St & 43 Ave,1,In Service,false,23
3790,"",3,33,"","",2019-06-12T19:13:56.000-07:00,40.7003,"",-73.991581,"",Henry St & Middagh St,"",Henry St & Middagh St,1,In Service,false,37
151,"",2,30,"","",2019-06-12T19:16:13.000-07:00,40.722103786686034,"",-73.99724900722504,"",Cleveland Pl & Spring St,"",Cleveland Pl & Spring St,1,In Service,false,33
401,"",20,20,"","",2019-06-12T19:17:41.000-07:00,40.72019576,"",-73.98997825,"",Allen St & Rivington St,"",Allen St & Rivington St,1,In Service,false,42
3568,"",6,14,"","",2019-06-12T19:14:04.000-07:00,40.7569332,"",-73.9262231,"",34 St & 35 Ave,"",34 St & 35 Ave,1,In Service,false,21
3638,"",4,13,"","",2019-06-12T19:14:48.000-07:00,40.7242941,"",-74.0354826,"",Washington St,"",Washington St,1,In Service,false,18
3071,"",11,8,"","",2019-06-12T19:16:13.000-07:00,40.70538077,"",-73.94976519,"",Boerum St & Broadway,"",Boerum St & Broadway,1,In Service,false,19
3107,"",37,1,"","",2019-06-12T19:17:01.000-07:00,40.72311651,"",-73.95212324,"",Bedford Ave & Nassau Ave,"",Bedford Ave & Nassau Ave,1,In Service,false,39
3335,"",28,0,"","",2019-06-12T19:16:58.000-07:00,40.6772744,"",-73.98282002,"",Union St & 4 Ave,"",Union St & 4 Ave,1,In Service,false,28
3490,"",5,26,"","",2019-06-12T19:16:09.000-07:00,40.796879,"",-73.937261,"",E 116 St & 2 Ave,"",E 116 St & 2 Ave,1,In Service,false,31
312,"",2,29,"","",2019-06-12T19:14:58.000-07:00,40.722055,"",-73.989111,"",Allen St & Stanton St,"",Allen St & Stanton St,1,In Service,false,31
445,"",65,12,"","",2019-06-12T19:17:34.000-07:00,40.72740794,"",-73.98142006,"",E 10 St & Ave. A,"",E 10 St & Ave. A,1,In Service,false,79
2008,"",2,22,"","",2019-06-12T19:16:30.000-07:00,40.70569254,"",-74.01677685,"",Little W St & 1 Pl,"",Little W St & 1 Pl,1,In Service,false,24
3192,"",15,6,"","",2019-06-12T19:17:24.000-07:00,40.7112423,"",-74.0557013,"",Liberty Light Rail,"",Liberty Light Rail,1,In Service,false,22
297,"",5,21,"","",2019-06-12T19:17:43.000-07:00,40.734232,"",-73.986923,"",E 15 St & 3 Ave,"",E 15 St & 3 Ave,1,In Service,false,27
3055,"",1,22,"","",2019-06-12T19:16:50.000-07:00,40.6883337,"",-73.950916,"",Greene Ave & Nostrand Ave,"",Greene Ave & Nostrand Ave,1,In Service,false,23
3389,"",28,0,"","",2019-06-12T19:16:17.000-07:00,40.6830456,"",-74.00348559,"",Carroll St & Columbia St,"",Carroll St & Columbia St,1,In Service,false,28
291,"",12,7,"","",2019-06-12T19:15:44.000-07:00,40.713126,"",-73.984844,"",Madison St & Montgomery St,"",Madison St & Montgomery St,1,In Service,false,20
3628,"",3,28,"","",2019-06-12T19:15:48.000-07:00,40.8025566,"",-73.9490782,"",Lenox Ave & W 117 St,"",Lenox Ave & W 117 St,1,In Service,false,31
3505,"",3,30,"","",2019-06-12T19:14:12.000-07:00,40.805726,"",-73.936322,"",Lexington Ave & E 127 St,"",Lexington Ave & E 127 St,1,In Service,false,33
3583,"",16,14,"","",2019-06-12T19:17:30.000-07:00,40.6716493,"",-73.9631145,"",Eastern Pkwy & Washington Ave,"",Eastern Pkwy & Washington Ave,1,In Service,false,31
3606,"",10,10,"","",2019-06-12T19:16:32.000-07:00,40.74252,"",-73.948852,"",49 Ave & 21 St,"",49 Ave & 21 St,1,In Service,false,21
3755,"",12,7,"","",2019-06-12T19:15:42.000-07:00,40.69064807082943,"",-73.95746178925037,"",DeKalb Ave & Franklin Ave,"",DeKalb Ave & Franklin Ave,1,In Service,false,19
217,"",36,1,"","",2019-06-12T19:17:29.000-07:00,40.70277159,"",-73.99383605,"",Old Fulton St,"",Old Fulton St,3,Not In Service,false,39
284,"",33,8,"","",2019-06-12T19:17:12.000-07:00,40.7390169121,"",-74.0026376103,"",Greenwich Ave & 8 Ave,"",Greenwich Ave & 8 Ave,1,In Service,false,43
358,"",45,1,"","",2019-06-12T19:15:20.000-07:00,40.73291553,"",-74.00711384,"",Christopher St & Greenwich St,"",Christopher St & Greenwich St,1,In Service,false,50
494,"",7,57,"","",2019-06-12T19:17:11.000-07:00,40.74734825,"",-73.99723551,"",W 26 St & 8 Ave,"",W 26 St & 8 Ave,1,In Service,false,66
3434,"",12,23,"","",2019-06-12T19:13:51.000-07:00,40.79025417330419,"",-73.97718340158461,"",W 88 St & W End Ave,"",W 88 St & W End Ave,1,In Service,false,35
